Type,Prompt ,Completion Structure,Completion text,,Type,Prompt ,Completion Structure,Completion text
,,Question 5,જો બાળક છોકરી હશે તો તેને તેનાં પિતા તરફથી કયુ રંગસૂત્ર પ્રાપ્ત થયું હોય ?,,,,Question 105,ડાયનાસોરમાં પીંછાંનો ઉપયોગ ઠંડા હવામાન સામે અવાહક પડ તરીકે થયો હતો.
,,A,Z,,,,A,ખરું 
,,B,Y,,,,B,ખોટું 
,,C ,X,,,,C ,-
,,D,YY,,,,D,-
,,Answer,X,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 6,ચાર્લ્સ ડાર્વિન તેમની કઈ શોધને કારણે જાણીતા છે ?,,,,Question 106,"દેડકા, ગરોળી, પક્ષી, ચામાચીડિયું અને માનવીમાં અગ્રઉપાંગના અસ્થિઓની અંતઃસ્થ રચના અને ગોઠવણી અલગ અલગ છે."
,,A,જૈવ ઉત્ક્રાંતિવાદ,,,,A,ખરું 
,,B,આનુવંશિકતા,,,,B,ખોટું 
,,C ,સાપેક્ષવાદ,,,,C ,-
,,D,આવર્ત કોષ્ટક,,,,D,-
,,Answer,જૈવ ઉત્ક્રાંતિવાદ,,,,Answer,ખોટું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 7,પુરુષોમાં સંગસૂત્રોની કઇ જોડ હોય છે ?,,,,Question 107,પક્ષી અને કીટકની પાંખ સમમૂલક અંગો છે.
,,A,XZ,,,,A,ખરું 
,,B,XY,,,,B,ખોટું 
,,C ,XX,,,,C ,-
,,D,YY,,,,D,-
,,Answer,XY,,,,Answer,ખોટું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 8,માનવ જાતિના સૌ પ્રથમ સભ્યોને ક્યાંથી શોધવામાં આવ્યા હતા?,,,,Question 108,મેન્ડલે કરેલાં બે લક્ષણોના વારસાના પ્રયોગમાં F₂ પેઢીમાં ચાર પ્રકારના છોડ સર્જાય છે.
,,A,ઓસ્ટ્રેલિયા,,,,A,ખરું 
,,B,અમેરિકા,,,,B,ખોટું 
,,C ,એન્ટાર્કટિકા,,,,C ,-
,,D,આફ્રિકા,,,,D,-
,,Answer,આફ્રિકા,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 9,સ્ત્રીના રંગસૂત્રને શું કહે છે ?,,,,Question 109,ત્વચાના જુદા જુદા રંગ ધરાવતા બધા માનવ એક જ જાતિના સભ્યો છે.
,,A,Z,,,,A,ખરું 
,,B,XY,,,,B,ખોટું 
,,C ,X,,,,C ,-
,,D,Y,,,,D,-
,,Answer,X,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 10,જો બાળક છોકરો હશે તો તેને તેનાં પિતા તરફથી કયુ રંગસૂત્ર પ્રાપ્ત થયું હોય ?,,,,Question 110,ઉદ્ધિકાસ જીવની ઉત્પતિ થઇ ત્યારથી સતત ચાલતી ક્રિયા છે.
,,A,X,,,,A,ખરું 
,,B,YY,,,,B,ખોટું 
,,C ,Z,,,,C ,-
,,D,Y,,,,D,-
,,Answer,Y,,,,Answer,ખરું 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 11,કીટકોમાં વ્યાપક અનુકુલન પામતું અંગ ક્યુ છે?,,,,Question 111,એક જ પૂર્વજમાંથી ઉદ્ભવતી બે જાતિઓ પરસ્પર પ્રજનન કરી શકે છે.
,,A,પાંખ અને આંખ,,,,A,ખરું 
,,B,જીભ,,,,B,ખોટું 
,,C ,પગ,,,,C ,-
,,D,ત્વચા,,,,D,-
,,Answer,પાંખ અને આંખ,,,,Answer,ખોટું
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 12,માનવ ઉવિકાસના અભ્યાસનું મુખ્ય સાધન ક્યુ છે?,,,,Question 112,"યોગ્ય જોડકા જોડો                                                                                                                                                                                                                    1. અનુકૂલન             p.પસંદગીના સંકરણ દ્વારા જાતિમાં ફેરફાર                                                                                                                                                            2. કુદરતી પસંદગી   q.સજીવના સ્વરૂપ કે કાર્યમાં ફેરફાર
3. કૃત્રિમ પસંદગી     r.ફોસિલ ડેટિંગ
4. અશ્મીની ઉંમર    s.જાતિનો ઉદ્ધિકાસ
"
,,A,રંગસૂત્રો,,,,A,"(1-p), (2-r), (3-s), (4-q)"
,,B,DNA અનુક્રમનું નિર્ધારણ,,,,B,"(1-p), (2-r), (3-q), (4-s)"
,,C ,RNA અનુક્રમનું નિર્ધારણ,,,,C ,"(1-q), (2-s), (3-p), (4-r)"
,,D,RNAની સંખ્યા,,,,D,"(1-r), (2-s), (3-p), (4-q)"
,,Answer,DNA અનુક્રમનું નિર્ધારણ,,,,Answer,"(1-q), (2-s), (3-p), (4-r)"
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 13,સ્ત્રીઓમાં રંગસૂત્રોની કઇ જોડ હોય છે ?,,,,Question 113,"યોગ્ય જોડકા જોડો                                                                                                                               1. સ્નેઇલ                                p.સરીસૃપ
2.પીછા ધરાવતા ડાયનાસોર    q.સૌપ્રથમ વાર આંખ
3.એમોનાઇટ્સ                       r.લિંગ બદલી શકે
4.પ્લેનેરિયા                             s.અશ્મી "
,,A,XX,,,,A,"(1-r), (2-p), (3-s), (4-q)"
,,B,YY,,,,B,"(1-p), (2-s), (3-q), (4-r)"
,,C ,XY,,,,C ,"(1-r), (2-q), (3-s), (4-p)"
,,D,XZ,,,,D,"(1-p), (2-q), (3-r), (4-s)"
,,Answer,XX,,,,Answer,"(1-r), (2-p), (3-s), (4-q)"
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 14,ડાયનાસોર કેવાં હતા?,,,,Question 114,"યોગ્ય જોડકા જોડો                                                                                                                                      1. ટ્રાયલોબાઇટ્સ                            p.કાર્યસદશ અંગો
2. નાઇટીઆ                                   q.સમમૂલક અંગો
3. પક્ષી અને ચામાચીડિયાનાં            r.માછલી-અશ્મી
4. પક્ષી અને ચામાચીડિયાની પાંખ   s.અપૃષ્ઠવંશી-અશ્મી"
,,A,ખેચર,,,,A,"(1-r), (2-s), (3-p), (4-q)"
,,B,સસ્તન,,,,B,"(1-s), (2-r), (3-q), (4-p)"
,,C ,જળચર,,,,C ,"(1-s), (2-r), (3-q), (4-s)"
,,D,સરીસૃપ,,,,D,"(1-s), (2-q), (3-p), (4-r)"
,,Answer,સરીસૃપ,,,,Answer,"(1-s), (2-r), (3-q), (4-s)"
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 15,સજીવોની સર્વપ્રથમ ઉત્પત્તિ સરળ કક્ષાના અકાર્બનિક અણુઓમાંથી થઇ હતી - આવું કોણે દર્શાવ્યું હતું?,,,,Question 115,"યોગ્ય જોડકા જોડો                                                                                                                                                  1. જનીન               p.જનીનવિદ્યા
2. નવા સંયોજન    q.DNAનો ખંડ
3. Y-રંગસૂત્ર           r.અર્ધીકરણ
4. આનુવંશિકતા   s.નર જાતિ"
,,A,મેન્ડેલ,,,,A,"(1-q), (2-s), (3-p), (4-r)"
,,B,એરીસ્ટૉટલ,,,,B,"(1-s), (2-q), (3-r), (4-p)"
,,C ,ચાર્લ્સ ડાર્વિન,,,,C ,"(1-q), (2-r), (3-s), (4-p)"
,,D,બી.એસ.હાલ્ડે,,,,D,"(1-q), (2-r), (3-p), (4-s)"
,,Answer,બી.એસ.હાલ્ડે,,,,Answer,"(1-q), (2-r), (3-s), (4-p)"
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 16,આમાંથી કયો સજીવ પોતાનું લિંગ બદલી શકે છે?,,,,Question 116,ફોસિલ ડેટિંગ પદ્ધતિનો ઉપયોગ શાના માટે કરવામાં આવે છે ?
,,A,સાપ,,,,A,ભૂમિનું સ્તર બંધારણ નક્કી કરવા 
,,B,ગોકળગાય,,,,B,અશ્મિઓની ઉમરનો અંદાજ મેળવવા 
,,C ,મનુષ્ય,,,,C ,અશ્મિઓનું બંધારણ નક્કી કરવા 
,,D,ખિસકોલી,,,,D,કૃત્રિમ પસંદગીનો ઉપયોગ કરવા
,,Answer,ગોકળગાય,,,,Answer,અશ્મિઓની ઉમરનો અંદાજ મેળવવા 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 17,આપણા બધાનો ઉદ્ભવ ક્યાંથી થયો છે ?,,,,Question 117,મનુષ્યના દૈહિક કોષમાં કેટલી જોડ રંગસૂત્રો હોય છે ?
,,A,એન્ટાર્કટિકા,,,,A,2 જોડ 
,,B,ઓસ્ટ્રેલિયા,,,,B,22 જોડ 
,,C ,આફ્રિકા,,,,C ,23 જોડ 
,,D,અમેરિકા,,,,D,46 જોડ 
,,Answer,આફ્રિકા,,,,Answer,23 જોડ 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 18,જનીનોનાં નવા સંયોજનો શામાં સર્જાય છે ?,,,,Question 118,આનુવંશિકતના અભ્યાસ માટેના વ્યવસ્થિત પ્રયોગો સૌપ્રથમ ક્યા વૈજ્ઞાનિકે કર્યા હતા ?
,,A,વાનસ્પતિક પ્રજનન,,,,A,મિલરે
,,B,અલિંગી પ્રજનન,,,,B,મોર્ગને
,,C ,લિંગી પ્રજનન,,,,C ,મૅન્ડલે
,,D,કલિકાસર્જન,,,,D,ડાર્વિને
,,Answer,લિંગી પ્રજનન,,,,Answer,મૅન્ડલે
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 19,નીચેનાં વિધાનોનો અભ્યાસ કરી યોગ્ય વિકલ્પ પસંદ કરો ઃ P. જે અંગોની અંતઃસ્થ રચના સરખી હોય પણ કાર્યો જુદાં હોય તેને સમમૂલક અંગો કહે છે.Q. સરખો દેખાવ અને સરખા કાર્ય કરતાં પરંતુ પાયાની સંરચના જુદી હોય તેવાં અંગોને કાર્યસદૃશ અંગો કહે છે. R. ભૂતકાળમાં જીવંત હોય તેવાં પ્રાણીઓ અને વનસ્પતિની છાપ અશ્મી તરીકે ઓળખાય છે.,,,,Question 119,પેઢી દર પેઢી જનીનિક માહિતીની અભિવ્યક્તિનું વહન ક્યા ઘટક વડે થાય છે ?
,,A,ત્રણેય વિધાનો સાચાં છે.,,,,A,પ્રોટીન
,,B,માત્ર વિધાન R સાચું છે.,,,,B,DNA
,,C ,વિધાનો P અને Q સાચાં છે તથા વિધાન R ખોટું છે.,,,,C ,RNA
,,D,ત્રણેય વિધાનો ખોટાં છે.,,,,D,ઉત્સેચક
,,Answer,ત્રણેય વિધાનો સાચાં છે.,,,,Answer,DNA
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 20,ભિન્નતા માટે ક્યું વિધાન ખોટું છે ?,,,,Question 120,મનુષ્યમાં લિંગ મિશ્રયન ક્યારે થાય છે ?
,,A,જાતિમાં બધી ભિન્નતાઓ જીવંત રહેવાની એકસરખી તક રહે છે.,,,,A,જ્યારે ફલન થાય ત્યારે 
,,B,અલિંગી પ્રજનનમાં ઘણી ઓછી ભિન્નતાઓ સર્જાય છે.,,,,B,જ્યારે ગર્ભસ્થાપન થાય ત્યારે 
,,C ,પર્યાવરણના ઘટકો દ્વારા ભિન્નતાની પસંદગી થતાં ઉત્ક્રાંતિની પ્રક્રિયા થાય છે.,,,,C ,જ્યારે જાતીય સમાગમ થાય ત્યારે 
,,D,જનીનદ્રવ્ય (DNA)માં થતો ફેરફાર ભિન્નતામાં પરિણમે છે.,,,,D,જ્યારે જનન પિંડનું વિભેદન થાય ત્યારે 
,,Answer,જાતિમાં બધી ભિન્નતાઓ જીવંત રહેવાની એકસરખી તક રહે છે.,,,,Answer,જ્યારે ફલન થાય ત્યારે 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 21,આનુવંશિકતાના અભ્યાસ માટેના વ્યવસ્થિત પ્રયોગો સૌપ્રથમ ક્યા વૈજ્ઞાનિકે કર્યા હતા ?,,,,Question 121,નીચેનાં ક્યાં અંગો બે પ્રાણીમાં હાજર હોય પણ સૂચવે છે કે તેઓ સામાન્‍ય પૂર્વજમાંથી ઉદભવેલા નથી ?
,,A,મિલરે,,,,A,સમ મૂલક અંગ
,,B,હાલ્ડેને,,,,B,અવશિષ્ટ અંગો 
,,C ,મેન્ડલે,,,,C ,કાર્યસદ્શ અંગો 
,,D,ડાર્વિને,,,,D,પ્રજનન અંગો 
,,Answer,હાલ્ડેને,,,,Answer,કાર્યસદ્શ અંગો 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 22,પેઢી-દર-પેઢી જનીનિક માહિતીની અભિવ્યક્તિનું વહન ક્યા ઘટક વડે થાય છે ?,,,,Question 122,સ્નેઈલ તેમનું લિંગ બદલી શકે છે તે શું સૂચવે છે 
,,A,પ્રોટીન,,,,A,તેમાં લિંગ નિશ્વયનઆનુવંશિક નથી. 
,,B,DNA,,,,B,તે ઉભયલિંગી છે. 
,,C ,RNA,,,,C ,તે વંધ્ય છે. 
,,D,ઉત્સેચક,,,,D,તેના ફલિતાંડમાં કેટલાંક રંગસૂત્રો y રંગસૂત્રમાં વિભેદન પામે છે. 
,,Answer,RNA,,,,Answer,તેમાં લિંગ નિશ્વયનઆનુવંશિક નથી. 
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 23,નીચે જણાવેલાં પ્રાણી અંગો રચનાસદૃશ અંગ નથી.,,,,Question 123,માનવીના હાથ સાથે માછલીનું કયું અંગ સમમૂલક છે ?
,,A,મનુષ્ય અને ગરોળીમાં અગ્રઉપાંગ,,,,A,ઉપાંગો
,,B,ગરોળી અને દેડકામાં અગ્રઉપાંગ,,,,B,મીનપક્ષ
,,C ,પતંગિયા અને ચામાચીડિયામાં પાંખો,,,,C ,ઝાલર
,,D,ચામાચીડિયા અને પક્ષીની પાંખો,,,,D,ફેફસાં
,,Answer,ગરોળી અને દેડકામાં અગ્રઉપાંગ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 24,પીંછા ધરાવતા ડાયનાસોર ક્યા વર્ગના પ્રાણી હતા ?,,,,Question 124,
,,A,સરીસૃપ,,,,A,
,,B,વિહગ,,,,B,
,,C ,સસ્તન,,,,C ,
,,D,A અને B બંને,,,,D,
,,Answer,સસ્તન,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 25,કૃત્રિમ પસંદગીનો ઉપયોગ કરી કોબીજનાં વંધ્ય પુષ્પોમાંથી કોનો વિકાસ મેળવ્યો છે ?,,,,Question 125,
,,A,બ્રૉકોલી ,,,,A,
,,B,ફૂલાવર ,,,,B,
,,C ,કહલરબી ,,,,C ,
,,D,કેલે,,,,D,
,,Answer,બ્રૉકોલી ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 26,માનવીનાં જનીનિક પગલાંના નિશાન કોની સાથે સંબંધ ધરાવેછે ?,,,,Question 126,
,,A,એશિયાના ઉદ્ગમસ્થાન,,,,A,
,,B,ઓસ્ટ્રેલિયાના ઉદ્ગમસ્થાન,,,,B,
,,C ,આફ્રિકાના ઉદ્ગમસ્થાન,,,,C ,
,,D,અમેરિકાના ઉદ્ગમસ્થાન,,,,D,
,,Answer,ઓસ્ટ્રેલિયાના ઉદ્ગમસ્થાન,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 27,નવી જાતિના નિર્માણ માટે અગત્યનો કારક ક્યો છે ?,,,,Question 127,
,,A,વસતિનું ભૌગોલિક અલગીકરણ,,,,A,
,,B,ભિન્નતા,,,,B,
,,C ,જનીન વિચલન (જીનેટિક ફિશ્ટ),,,,C ,
,,D,આપેલ તમામ,,,,D,
,,Answer,જનીન વિચલન (જીનેટિક ફિશ્ટ),,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 28,નવી જાતિના નિર્માણ માટે અગત્યનો કારક ક્યો છે ?,,,,Question 128,
,,A,વસતિનું ભૌગોલિક અલગીકરણ,,,,A,
,,B,ભિન્નતા,,,,B,
,,C ,જનીન વિચલન (જીનેટિક ફિશ્ટ),,,,C ,
,,D,આપેલ તમામ,,,,D,
,,Answer,વસતિનું ભૌગોલિક અલગીકરણ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
13,,Question 29,"મેન્ડલના પ્રયોગના પરિણામમાં બે લક્ષણોના વારસામાં F₂, પેઢીમાં પીળાં, ખરબચડાં બીજ ધરાવતા છોડ અને લીલાં, ગોળ બીજ ધરાવતા છોડનું પ્રમાણ...",,,,Question 129,
,,A,3:3,,,,A,
,,B,9:3,,,,B,
,,C ,3:1,,,,C ,
,,D,9:1,,,,D,
,,Answer,3:3,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 30,હોમો સેપિયન્સનું મૂળ ક્યાં છે ?,,,,Question 130,
,,A,આફ્રિકા,,,,A,
,,B,યુરેશિયા,,,,B,
,,C ,ઇન્ડોનેશિયા ,,,,C ,
,,D,ફિલિપાઇન્સ,,,,D,
,,Answer,આફ્રિકા,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 31,ક્યા પ્રાણીમાં સૌપ્રથમ આંખો ઉદ્ભવી ?,,,,Question 131,
,,A,પેરામીશિયમ ,,,,A,
,,B,પ્લાઝ્મોડિયમ,,,,B,
,,C ,પ્લેનેરિયા ,,,,C ,
,,D,પેરિપેટસ,,,,D,
,,Answer,પ્લેનેરિયા ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 32,માનવીના હાથ સાથે માછલીનું ક્યું અંગ સમમૂલક છે ?,,,,Question 132,
,,A,ઉપાંગો ,,,,A,
,,B,મીનપક્ષ ,,,,B,
,,C ,ઝાલર ,,,,C ,
,,D,ફેફસાં,,,,D,
,,Answer,મીનપક્ષ ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 33, પુરુષમાં શુક્રકોષો કેટલા પ્રકારના હોય છે ?,,,,Question 133,
,,A,એક ,,,,A,
,,B,બે ,,,,B,
,,C ,ત્રણ ,,,,C ,
,,D,ચાર,,,,D,
,,Answer,બે ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 34,પુરુષમાં 7-રંગસૂત્ર...,,,,Question 134,
,,A, રંગસૂત્ર જેટલું જ કદ ધરાવે છે.,,,,A,
,,B,X-રંગસૂત્ર કરતાં કદમાં મોટું હોય છે.,,,,B,
,,C ,X-રંગસૂત્ર કરતાં કદમાં નાનું હોય છે.,,,,C ,
,,D,X-રંગસૂત્ કરતાં બમણાં કદનું હોય છે.,,,,D,
,,Answer,X-રંગસૂત્ર કરતાં કદમાં નાનું હોય છે.,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 35,ભૂમિની ફળકુપતા જાળવી રાખવામાં અળસિયાની ભૂમિકાના વિષયમાં ક્યા પ્રકૃતિશાસ્ત્રી સંકળાયેલાં છે ?,,,,Question 135,
,,A,મેન્ડલ ,,,,A,
,,B,મિલર ,,,,B,
,,C ,ડાર્વિન ,,,,C ,
,,D,હેરાલ્ડ,,,,D,
,,Answer,ડાર્વિન ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 36,ભિન્ન કાર્ય કરતાં પરંતુ પાયાની સંરચના સરખી હોય તેઓ ક્યા નામથી ઓળખાય છે ?,,,,Question 136,
,,A,સમમૂલક અંગો,,,,A,
,,B,કાર્યસદશ અંગો,,,,B,
,,C ,સમરૂપ અંગો,,,,C ,
,,D,અવશિષ્ટ અંગો,,,,D,
,,Answer,સમમૂલક અંગો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 37,"જો સજીવના અશ્મીઓ પૃથ્વીના ઊંડા સ્તરોમાંથી મળી આવે, તો આપણે તેનું ભાવિકથન કહીએ છીએ.",,,,Question 137,
,,A,સજીવ તાજેતરમાં લુપ્ત થયા છે.,,,,A,
,,B,સજીવ લુપ્ત થયાને હજારો વર્ષો વીતી ગયા છે.,,,,B,
,,C ,અશ્મીની પૃથ્વીના સ્તરમાં સજીવની લુપ્ત થવાની સ્થિતિને સમય સાથે કોઇ સંબંધ નથી.,,,,C ,
,,D,લુપ્ત થવાના સમયનું નિશ્ચયન થઇ શકતું નથી.,,,,D,
,,Answer,સજીવ લુપ્ત થયાને હજારો વર્ષો વીતી ગયા છે.,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 38,નવી જાતિનું નિર્માણ ત્યારે થાય જો...1.જનનકોષોના DNAમાં અગત્યના ફેરફાર થાય. 2.જનન પદાર્થમાં કોઇ ફેરફાર થતો નથી. 3. તેઓમાં પિતૃજાતિ સાથે પ્રજનનક્રિયા થતી નથી.,,,,Question 138,
,,A,(1) અને (2),,,,A,
,,B,(1) અને (૩),,,,B,
,,C ,(2) અને (3),,,,C ,
,,D,"(1),(2) અને (3)",,,,D,
,,Answer,(1) અને (૩),,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 39,નીચેનાં ક્યાં અંગો બે પ્રાણીમાં હાજર હોય પણ સૂચવે છે કે તેઓ સામાન્ય પૂર્વજમાંથી ઉદ્ભવેલા નથી ?,,,,Question 139,
,,A,સમમૂલક અંગો,,,,A,
,,B,ઉત્સર્ગ અંગો,,,,B,
,,C ,કાર્યસદશ અંગો,,,,C ,
,,D,પ્રજનન અંગો,,,,D,
,,Answer,કાર્યસદશ અંગો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 40,જનીનનું કાર્ય ક્યું છે ?,,,,Question 140,
,,A,DNAનું બંધારણ રચવાનું,,,,A,
,,B,રંગસૂતરનું બંધારણ રચવાનું,,,,B,
,,C ,પ્રોટીનનું સંશ્લેષણ કરવાનું,,,,C ,
,,D,DNAનું સંશ્લેષણ કરવાનું,,,,D,
,,Answer,પ્રોટીનનું સંશ્લેષણ કરવાનું,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 41,મનુષ્યના દેહિકકોષોમાં લિંગી રંગસૂત્રોની કેટલી જોડ હોય છે ?,,,,Question 141,
,,A,એક ,,,,A,
,,B,બે ,,,,B,
,,C ,ત્રણ ,,,,C ,
,,D,ચાર,,,,D,
,,Answer,એક ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 42,મનુષ્યના પ્રજનનકોષોમાં લિંગી રંગસૂત્રોની સંખ્યા કેટલી હોય છે ?,,,,Question 142,
,,A,એક ,,,,A,
,,B,બે ,,,,B,
,,C ,ત્રેવીસ,,,,C ,
,,D,છેતાલીસ,,,,D,
,,Answer,એક ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 43,"પ્લેનેરિયા, કીટક, ઓક્ટોપસ, અપૃષ્ઠવંશીઓ અને  વવંશીઓમાં કોનો તબક્કાવાર ઉદ્ધિકાસ સમજાવી શકાય છે ?",,,,Question 143,
,,A,અશ્મીઓ ,,,,A,
,,B,પાંખ ,,,,B,
,,C ,આંખ ,,,,C ,
,,D,પીછા,,,,D,
,,Answer,આંખ ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 44,પર્યાવરણની પ્રતિક્રિયારૂપે વિકાસ પામતી લાક્ષણિકતા...,,,,Question 144,
,,A,આનુવંશિક હોય છે.,,,,A,
,,B,ઉદ્ધિકાસ માટે અગત્યની છે.,,,,B,
,,C ,વારસાગત હોતી નથી. ,,,,C ,
,,D,સંતતિમાં ઊતરી આવે છે.,,,,D,
,,Answer,વારસાગત હોતી નથી. ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 45,ઉપાર્જિત લાક્ષણિકતા માટે સંગત વિધાન ક્યું છે ?,,,,Question 145,
,,A,તે ના ફેરફારોને કારણે અસ્તિત્વમાં આવે છે.,,,,A,
,,B,તે પ્રજનનકોષો દ્વારા સંતતિમાં વહન પામે છે.,,,,B,
,,C ,સજીવ આ લાક્ષણિકાઓ સામે જન્મ લે છે.,,,,C ,
,,D,તેનો વિકાસ પર્યાવરણની પ્રતિક્રિયારૂપે થાય છે.,,,,D,
,,Answer,તેનો વિકાસ પર્યાવરણની પ્રતિક્રિયારૂપે થાય છે.,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 46,નીચેના પૈકી કઇ ઉપાર્જિત લાક્ષણિકતા નથી ?,,,,Question 146,
,,A,મનુષ્યમાં તરતા શીખવું,,,,A,
,,B,મનુષ્યના ચહેરા પર ઘાનું નિશાન હોવું,,,,B,
,,C ,સ્કેટ પહેરી સ્કેટિંગ રિંગ પર સરકવું,,,,C ,
,,D,કાનની બૂટ જોડાયેલી હોવી,,,,D,
,,Answer,કાનની બૂટ જોડાયેલી હોવી,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 47,ડેટિંગ પદ્ધતિનો ઉપયોગ શાના માટે કરવામાં આવે છે ?,,,,Question 147,
,,A,ભૂમિનું સ્તરબંધારણ નક્કી કરવા ,,,,A,
,,B,અશ્મીઓની ઉંમરનો અંદાજ મેળવવા,,,,B,
,,C ,અશ્મીઓનું બંધારણ નક્કી કરવા,,,,C ,
,,D,કૃત્રિમ પસંદગીનો ઉપયોગ કરવા,,,,D,
,,Answer,અશ્મીઓની ઉંમરનો અંદાજ મેળવવા,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 48,વટાણાના ઊંચા (TT) છોડ અને નીચા (tt) છોડ વચ્ચે મેન્ડલે કરેલા સંકરણ પ્રયોગમાં F₂ પેઢીનું પરિણામ..... ,,,,Question 148,
,,A,બધા ઊંચા છોડ,,,,A,
,,B,ઊંચા અને નીચા છોડનું પ્રમાણ 3 : 1,,,,B,
