Prompt ,Completion Structure,Completion text
,Question 10,નીચેનાં વિધાનોનો અભ્યાસ કરી યોગ્ય વિકલ્પ પસંદ કરો ઃ P. જે અંગોની અંતઃસ્થ રચના સરખી હોય પણ કાર્યો જુદાં હોય તેને સમમૂલક અંગો કહે છે.Q. સરખો દેખાવ અને સરખા કાર્ય કરતાં પરંતુ પાયાની સંરચના જુદી હોય તેવાં અંગોને કાર્યસદૃશ અંગો કહે છે. R. ભૂતકાળમાં જીવંત હોય તેવાં પ્રાણીઓ અને વનસ્પતિની છાપ અશ્મી તરીકે ઓળખાય છે.
,A,ત્રણેય વિધાનો સાચાં છે.
,B,માત્ર વિધાન R સાચું છે.
,C ,વિધાનો P અને Q સાચાં છે તથા વિધાન R ખોટું છે.
,D,ત્રણેય વિધાનો ખોટાં છે.
,Answer,ત્રણેય વિધાનો સાચાં છે.
,Solution,વિધાન P: જે અંગોની અંતઃસ્થ રચના સરખી હોય પણ કાર્યો જુદાં હોય તેને સમમૂલક અંગો કહે છે. આ વિધાન સાચું છે. વિધાન Q: સરખો દેખાવ અને સરખા કાર્ય કરતાં પરંતુ પાયાની સંરચના જુદી હોય તેવાં અંગોને કાર્યસદૃશ અંગો કહે છે. આ પણ સાચું છે. વિધાન R: ભૂતકાળમાં જીવંત હોય તેવાં પ્રાણીઓ અને વનસ્પતિની છાપ અશ્મી તરીકે ઓળખાય છે. આ પણ સાચું છે.
,,
,,
,,
"મને ધોરણ 10ના વિજ્ઞાન વિષયના નવમા પ્રકરણ પરથી 5 પ્રશ્નોની ક્વિઝ બનાવી આપો, જેમાં 2 ખાલી જગ્યા, 2 ખરા-ખોટા અને 1 જોડકા વાળા હોય.",Question 1,________ દરમિયાન સર્જાતી ભિન્નતાઓ વારસાગત બને છે.
,A,અલિંગી
,B,લિંગી પ્રજનન
,C ,દ્વિભાજન
,D,અવખંડન
,Answer,લિંગી પ્રજનન
,Solution,"જનિત ભિન્નતાઓ લિંગી પ્રજનન દરમિયાન જ સર્જાય છે. પેરેન્ટ્સના અલગ અલગ નમૂનાઓનું ક્રોસઓવર થાય છે, જે શારીરિક અને વૃત્તિ ધારણામાં ફેરફાર લાવે છે. આ મારફતે વારસાગત ભિન્નતાઓ સર્જાતી છે. એલિંગી અને દ્વિભાજનમાં કોઈ જેનેટિક વ્યવધાન એક પેઢીથી બીજી પેઢીમાં ન થાય."
,,
,Question 2,ભિન્નતાઓ સાથે ભૌગોલિક અલગીકરણ ________ નિર્માણ તરફ દોરી જાય છે.
,A,રહેણીકરણ
,B,પહેરવેશ
,C ,જાતિ 
,D,ભેદભાવ
,Answer,જાતિ 
,Solution,"અલિંગી પ્રજનનમાં, નવી પેઢીનું જેનેટિક સમગ્ર માતાની જ નકલ હોય છે. DNA નકલની પ્રક્રિયામાં થતા ફેરફારો સંભવતઃ જેનેટિક વ્યવધાન સર્જે છે અને ફળે તે નવા જેનેટિક પ્રકારનું જન્મ લે છે.પહેલા આ વિવિધતાઓ નકારાત્મક હોય છે પરંતુ કેટલીક જુદી જાતને વર્ગીકરણ થતાં જાવે છે."
,,
,Question 3,અલિંગી પ્રજનન મોટા પ્રમાણમાં વિવિધતાઓ સર્જે છે.
,A,ખરું 
,B,ખોટું 
,C ,-
,D,-
,Answer,ખોટું 
,Solution,અલિંગી પ્રજનનમાં જેનેટિક વ્યવધાન ન થાય. કોઈપણ નવો જેનેટિક સંયોજન ન સર્જાય. તેથી પેઢીથી પેઢી સુધી જેનેટિક વ્યવધાન નથી થતું અને જનિત વિવિધતાઓ વધતી નથી. લિંગી પ્રજનનમાં છેલ્લા ઘણા ક્રોસઓવર થવા થઈ શકે છે જે નવી વિવિધતાઓ સર્જી શકે છે.
,,
,Question 4,અલિંગી પ્રજનનમાં DNAની નકલ બનતી વખતે થતાં ફેરફારથી વિવિધતાનો ઉદ્ભવ થાય છે.
,A,ખરું 
,B,ખોટું 
,C ,-
,D,-
,Answer,ખરું 
,Solution,"અલિંગી પ્રજનનમાં, નવી પીઢળીનું જેનેટિક સમગ્ર માતાની જ નકલ હોય છે. DNA નકલીને પ્રક્રિયામાં થતા ફેરફારો સંભવતઃ જેનેટિક વ્યવધાન સર્જે છે અને ફળે તે નવા જેનેટિક પ્રકારનું જન્મ લે છે. પ્રાયઃ આ વિવિધતાઓ નકારાત્મક હોય છે પરંતુ કેટલીક જુદી જાતને વર્ગીકરણ થતાં જાવે છે."
,,
,Question 5,"યોગ્ય જોડકા જોડો                                                                                                                                                                                                                    1. અનુકૂલન             p.પસંદગીના સંકરણ દ્વારા જાતિમાં ફેરફાર                                                                                                                                                            2. કુદરતી પસંદગી   q.સજીવના સ્વરૂપ કે કાર્યમાં ફેરફાર
3. કૃત્રિમ પસંદગી     r.ફોસિલ ડેટિંગ
4. અશ્મીની ઉંમર    s.જાતિનો ઉદ્ધિકાસ
"
,A,"1-p, 2-r, 3-s, 4-q"
,B,"1-p, 2-r, 3-q, 4-s"
,C ,"1-q, 2-s, 3-p, 4-r"
,D,"1-r, 2-s, 3-p, 4-q"
,Answer,"1-q, 2-s, 3-p, 4-r"
,Solution,"1-q, 2-s, 3-p, 4-r એ યોગ્ય જોડકું છે"
,,
,,
,,
મને ધોરણ 10ના વિજ્ઞાન વિષયના નવમા પ્રકરણ પરથી 8 સરળ પ્રશ્નોની ક્વિઝ બનાવી આપો. જેમાં 3 MCQ હોય અને 5 ખાલી જગ્યા પ્રકારના પ્રશ્નો હોય.,Question 1,"મેન્ડલના પ્રયોગના પરિણામમાં બે લક્ષણોના વારસામાં F₂, પેઢીમાં પીળાં, ખરબચડાં બીજ ધરાવતા છોડ અને લીલાં, ગોળ બીજ ધરાવતા છોડનું પ્રમાણ..."
,A,3:3
,B,9:3
,C ,3:1
,D,9:1
,Answer,3:3
,Solution,"મેન્ડલના પ્રયોગમાં, F2 પેઢીમાં પેરેન્ટલ્સમાંથી એક ડોમિનન્ટ અને એક રીસેસીવ લક્ષણથી આવેલા બીજ છોડોનો અનુપાત 9:3 હોય છે. ડોમિનન્ટ લક્ષણ 3 વાર આવે છે. રીસેસીવ લક્ષણ 3 વાર આવે છે. એટલે છોડનો અનુપાત 3:3 છે."
,,
,Question 2,નીચે જણાવેલાં પ્રાણી અંગો રચનાસદૃશ અંગ નથી.
,A,મનુષ્ય અને ગરોળીમાં અગ્રઉપાંગ
,B,ગરોળી અને દેડકામાં અગ્રઉપાંગ
,C ,પતંગિયા અને ચામાચીડિયામાં પાંખો
,D,ચામાચીડિયા અને પક્ષીની પાંખો
,Answer,પતંગિયા અને ચામાચીડિયામાં પાંખો
,Solution,"અગ્રઉપાંગ - મનુષ્ય, ગરોળી અને દેડકામાં અગ્રઉપાંગ ફરક નથી છતાં તે એકલક્ષણ રચનાસદૃશ છે. પક્ષીની પાંખો - પક્ષિયાં અને ચામાચીડિયામાંની પાંખો ફરક ધરાવે છે અને એકલક્ષણ રચના ધરાવે છે. પતંગિયા અને ચામાચીડિયામાં પાંખો બંને થકી એકજ રચનાસદૃશ છે. તેથી રચનાસદૃશ અંગ નથી."
,,
,Question 3,માનવીના હાથ સાથે માછલીનું કયુંં અંગ સમમૂલક છે ?
,A,ઉપાંગો 
,B,મીનપક્ષ 
,C ,ઝાલર 
,D,ફેફસાં
,Answer,મીનપક્ષ 
,Solution,માનવ હાથ - માનવીના હાથ એ વિસ્તરિત થવો અને વસ્તુ પકડવા માટે ઉપયોગી થાય છે. મીનપક્ષ - માફિંગની પક્ષીઓ (માછલીઓ)ની મીનપક્ષ માનવીના હાથની જેમ જ છે અને તે વસ્તુ પકડવા અને વિસ્તરિત થવામાં સમમૂલક છે. 
,,
,Question 4,કોષકેન્દ્રમાં ______ સમાવિષ્ટ છે.
,A,જનીન 
,B,DNA 
,C ,રંગસૂત્રો 
,D,ઉપરના તમામ
,Answer,ઉપરના તમામ
,Solution,ઉપરના તમામ કોષકેન્દ્રમાં હાજર હોય છે
,,
,Question 5,"ચામાચીડિયાની પાંખ અને પક્ષીની પાંખની રચના, બંધારણમાં ભિન્નતા હોવા છતાં તેમનું કાર્ય સમાન છે તો પાંખની રચનાવાળા અંગોને ______ કહે છે."
,A,રચત્તાસદશ અંગો
,B,કાર્યસદશ અંગો
,C ,વિકૃત અંગો
,D,ઉપરમાંથી ઉપરામાંથી એક પણ નહિ
,Answer,કાર્યસદશ અંગો
,Solution,"ચામાચીડિયા અને પક્ષીની પાંખો રચનાસદૃશ અંગો નથી કારણ કે તેની રચના અલગ છે, પરંતુ તેનું કાર્ય એક છે (ઉડવું). તેથી આ કાર્યસદૃશતાના આધારે (ઉડવું) તેને 'કાર્યસદશ અંગો' કહેવામાં આવે છે."
,,
,Question 6,વિવિધ સમસ્થાનિકોના _______  ના આધારે જીવાશ્મના સમયને નક્કી કરવામાં આવે છે.
,A,સરવાળા 
,B,બાદબાકી 
,C ,ગુણોત્તર 
,D,રાસાયણિક બંધારણ
,Answer,રાસાયણિક બંધારણ
,Solution,જીવાશ્મનો આયુ નક્કી કરવા માટે: સરવાળા: સમસ્થાનિકની રચના અને ફોસિલની સ્થિતિથી પ્રકાર નક્કી કરવામાં આવે છે. રસાયનિક બંધારણ: ફોસિલનો C14 ડેટિંગ દ્વારા આયુ નક્કી કરવામાં આવે છે.
,,
,Question 7,_______ એ વ્યાપક અનુકૂલન પામતું અંગ છે.
,A,નાક 
,B,કાન 
,C ,દાંત 
,D,આંખ
,Answer,નાક 
,Solution,નાક પ્રાણીઓને સ્પર્શમાં આવેલ વાતાવરણમાં ફેરફાર કરવા માટે ખૂબ સારી રીતે અનુકૂલિત થઈ શકે છે. તેથી તે વ્યાપક અનુકૂલન પામે છે.
,,
,Question 8,_______  ખૂબ જ નજીકથી સરીસૃપ સાથે સંબંધિત છે.
,A,માનવો 
,B,પક્ષીઓ 
,C ,ઉભયજીવી સજીવો 
,D,જળચર સજીવો
,Answer,ઉભયજીવી સજીવો 
,Solution,"માનવો: માનવો મેઘરો, પક્ષી અને સરીસૃપથી કેટલીક વસ્તુઓમાં સમાન ધરાવે છે, પરંતુ સરીસૃપ સાથે સંઘત નથી. પક્ષી: પક્ષી મેઘરો અને સરીસૃપથી અલગ તરીકે વિકસિત થયા છે. ઉભયજીવી: ઉભયજીવીઓ સરીસૃપ થી વિકસિત થયા છે અને પ્રાણીઓમાં તે સરીસૃપ સાથે સંબંધિત છે."
